tile_type,pip_name,speed_index,fwd_type,fwd_slow_max,fwd_slow_min,fwd_fast_max,fwd_fast_min,fwd_res,fwd_in_cap
BRAM_INT_INTERFACE_L,INT_INTERFACE_LOGIC_OUTS_L_B0->>INT_INTERFACE_LOGIC_OUTS_L0,472,buffer_switch,0.186,0.154,0.070,0.057,1325.8925625,5.962
BRAM_INT_INTERFACE_R,INT_INTERFACE_LOGIC_OUTS_B0->>INT_INTERFACE_LOGIC_OUTS0,472,buffer_switch,0.186,0.154,0.070,0.057,1325.8925625,5.962
BRAM_L,BRAM_ADDRARDADDRL0->>BRAM_FIFO36_ADDRARDADDRL0,655,buffer_switch,0.134,0.111,0.046,0.038,737.319,0.000
BRAM_L,BRAM_ADDRARDADDRL0->>BRAM_UTURN_ADDRARDADDRL0,656,buffer_switch,0.000,0.000,0.000,0.000,0.0,0.000
BRAM_L,BRAM_ADDRARDADDRU0->>BRAM_CASCOUT_ADDRARDADDRU0,657,buffer_switch,0.338,0.280,0.129,0.106,0.0,0.000
BRAM_L,BRAM_BYP3_2->BRAM_FIFO36_WEBWEL3,658,pass_transistor,,,,,0.000,
BRAM_L,BRAM_CASCINBOT_ADDRARDADDRU0->BRAM_ADDRARDADDRL0,659,pass_transistor,,,,,0.000,
BRAM_R,BRAM_ADDRARDADDRL0->>BRAM_FIFO36_ADDRARDADDRL0,655,buffer_switch,0.134,0.111,0.046,0.038,737.319,0.000
BRAM_R,BRAM_ADDRARDADDRL0->>BRAM_UTURN_ADDRARDADDRL0,656,buffer_switch,0.000,0.000,0.000,0.000,0.0,0.000
BRAM_R,BRAM_ADDRARDADDRU0->>BRAM_CASCOUT_ADDRARDADDRU0,657,buffer_switch,0.338,0.280,0.129,0.106,0.0,0.000
BRAM_R,BRAM_BYP3_2->BRAM_FIFO36_WEBWEL3,658,pass_transistor,,,,,0.000,
BRAM_R,BRAM_CASCINBOT_ADDRARDADDRU0->BRAM_ADDRARDADDRL0,659,pass_transistor,,,,,0.000,
BRKH_GTX,BRKH_GTX_NORTHREFCLK0_LOWER->BRKH_GTX_NORTHREFCLK0_UPPER,659,pass_transistor,,,,,0.000,
BRKH_INT,BRKH_INT_NL1BEG0->>BRKH_INT_NL1BEG0_SLOW,680,buffer_switch,0.312,0.231,0.105,0.202,424.875,1.111
CFG_CENTER_BOT,CFG_CENTER_BOT_USR_ACCESS_DATA2->CFG_CENTER_LOGIC_OUTS_B13_19,659,pass_transistor,,,,,0.000,
CFG_CENTER_MID,CFG_CENTER_BSCAN1_CAPTURE->CFG_CENTER_LOGIC_OUTS_B22_2,659,pass_transistor,,,,,0.000,
CFG_CENTER_TOP,CFG_CENTER_CLK1_0->CFG_CENTER_TOP_ICAP1_CLK,659,pass_transistor,,,,,0.000,
CLBLL_L,CLBLL_BYP0->CLBLL_L_AX,659,pass_transistor,,,,,0.000,
CLBLL_L,CLBLL_LL_A->>CLBLL_LL_AMUX,846,buffer,0.209,0.168,0.088,0.071,0.0,
CLBLL_L,CLBLL_LL_A1->>CLBLL_LL_A,847,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_A2->>CLBLL_LL_A,848,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_A3->>CLBLL_LL_A,849,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_A4->>CLBLL_LL_A,850,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_A5->>CLBLL_LL_A,851,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_A6->>CLBLL_LL_A,852,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_B->>CLBLL_LL_BMUX,853,buffer,0.208,0.168,0.091,0.073,0.0,
CLBLL_L,CLBLL_LL_B1->>CLBLL_LL_B,854,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_B2->>CLBLL_LL_B,855,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_B3->>CLBLL_LL_B,856,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_B4->>CLBLL_LL_B,857,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_B5->>CLBLL_LL_B,858,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_B6->>CLBLL_LL_B,859,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_C->>CLBLL_LL_CMUX,860,buffer,0.205,0.166,0.086,0.069,0.0,
CLBLL_L,CLBLL_LL_C1->>CLBLL_LL_C,861,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_C2->>CLBLL_LL_C,862,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_C3->>CLBLL_LL_C,863,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_C4->>CLBLL_LL_C,864,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_C5->>CLBLL_LL_C,865,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_C6->>CLBLL_LL_C,866,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_COUT->>CLBLL_LL_DMUX,867,buffer,0.305,0.246,0.131,0.105,0.0,
CLBLL_L,CLBLL_LL_D->>CLBLL_LL_DMUX,868,buffer,0.211,0.170,0.093,0.075,0.0,
CLBLL_L,CLBLL_LL_D1->>CLBLL_LL_D,869,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_D2->>CLBLL_LL_D,870,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_D3->>CLBLL_LL_D,871,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_D4->>CLBLL_LL_D,872,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_D5->>CLBLL_LL_D,873,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_L,CLBLL_LL_D6->>CLBLL_LL_D,874,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_BYP0->CLBLL_L_AX,659,pass_transistor,,,,,0.000,
CLBLL_R,CLBLL_LL_A->>CLBLL_LL_AMUX,846,buffer,0.209,0.168,0.088,0.071,0.0,
CLBLL_R,CLBLL_LL_A1->>CLBLL_LL_A,847,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_A2->>CLBLL_LL_A,848,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_A3->>CLBLL_LL_A,849,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_A4->>CLBLL_LL_A,850,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_A5->>CLBLL_LL_A,851,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_A6->>CLBLL_LL_A,852,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_B->>CLBLL_LL_BMUX,853,buffer,0.208,0.168,0.091,0.073,0.0,
CLBLL_R,CLBLL_LL_B1->>CLBLL_LL_B,854,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_B2->>CLBLL_LL_B,855,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_B3->>CLBLL_LL_B,856,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_B4->>CLBLL_LL_B,857,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_B5->>CLBLL_LL_B,858,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_B6->>CLBLL_LL_B,859,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_C->>CLBLL_LL_CMUX,860,buffer,0.205,0.166,0.086,0.069,0.0,
CLBLL_R,CLBLL_LL_C1->>CLBLL_LL_C,861,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_C2->>CLBLL_LL_C,862,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_C3->>CLBLL_LL_C,863,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_C4->>CLBLL_LL_C,864,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_C5->>CLBLL_LL_C,865,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_C6->>CLBLL_LL_C,866,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_COUT->>CLBLL_LL_DMUX,867,buffer,0.305,0.246,0.131,0.105,0.0,
CLBLL_R,CLBLL_LL_D->>CLBLL_LL_DMUX,868,buffer,0.211,0.170,0.093,0.075,0.0,
CLBLL_R,CLBLL_LL_D1->>CLBLL_LL_D,869,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_D2->>CLBLL_LL_D,870,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_D3->>CLBLL_LL_D,871,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_D4->>CLBLL_LL_D,872,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_D5->>CLBLL_LL_D,873,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLL_R,CLBLL_LL_D6->>CLBLL_LL_D,874,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_BYP0->CLBLM_L_AX,659,pass_transistor,,,,,0.000,
CLBLM_L,CLBLM_L_A->>CLBLM_L_AMUX,846,buffer,0.209,0.168,0.088,0.071,0.0,
CLBLM_L,CLBLM_L_A1->>CLBLM_L_A,847,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_A2->>CLBLM_L_A,848,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_A3->>CLBLM_L_A,849,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_A4->>CLBLM_L_A,850,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_A5->>CLBLM_L_A,851,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_A6->>CLBLM_L_A,852,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_B->>CLBLM_L_BMUX,853,buffer,0.208,0.168,0.091,0.073,0.0,
CLBLM_L,CLBLM_L_B1->>CLBLM_L_B,854,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_B2->>CLBLM_L_B,855,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_B3->>CLBLM_L_B,856,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_B4->>CLBLM_L_B,857,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_B5->>CLBLM_L_B,858,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_B6->>CLBLM_L_B,859,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_C->>CLBLM_L_CMUX,860,buffer,0.205,0.166,0.086,0.069,0.0,
CLBLM_L,CLBLM_L_C1->>CLBLM_L_C,861,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_C2->>CLBLM_L_C,862,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_C3->>CLBLM_L_C,863,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_C4->>CLBLM_L_C,864,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_C5->>CLBLM_L_C,865,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_C6->>CLBLM_L_C,866,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_COUT->>CLBLM_L_DMUX,867,buffer,0.305,0.246,0.131,0.105,0.0,
CLBLM_L,CLBLM_L_D->>CLBLM_L_DMUX,868,buffer,0.211,0.170,0.093,0.075,0.0,
CLBLM_L,CLBLM_L_D1->>CLBLM_L_D,869,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_D2->>CLBLM_L_D,870,buffer,0.124,0.100,0.056,0.045,0.0,
CLBLM_L,CLBLM_L_D3->>CLBLM_L_D,871,buffer,0.124,0.100,0.056,0.045,0.0,
