tile_type,wire_name,speed_index,res,cap
BRAM_INT_INTERFACE_L,INT_INTERFACE_LOGIC_OUTS_L17,427,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_BRAM_UTURN_IMUX43,428,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_CTRL0,429,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_BYP6,430,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_CLK0,431,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_LOGIC_OUTS_L_B14,432,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_FAN4,433,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_BLOCK_OUTS_L_B1,434,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_SW4END2,435,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_WW2A2,436,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_WR1END3,437,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_WL1END3,438,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_WW2END2,439,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_SW4A3,440,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_SW2A3,441,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_WW4B1,442,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_WW4END3,443,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_WW4C3,444,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_WW4A3,445,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_PHASER_TO_IO_OCLKDIV,446,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_NW4A1,447,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_NW4END0,448,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_PHASER_TO_IO_ICLK,449,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_PHASER_TO_IO_ICLKDIV,450,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_PHASER_TO_IO_OCLK,451,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_PHASER_TO_IO_OCLK1X_90,452,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_SE2A0,453,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_SE4C1,454,0.000,0.000
BRAM_INT_INTERFACE_L,L_INT_INTER_DQS_IOTOPHASER,455,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_SE4BEG3,456,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_NE4BEG1,457,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_MONITOR_N,458,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_NE2A0,459,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_NE4C0,460,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_NW2A0,461,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_EL1BEG0,462,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_ER1BEG0,463,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_EE4C3,464,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_LH1,465,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_EE4A2,466,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_EE2A0,467,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_EE2BEG0,468,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_EE4B0,469,0.000,0.000
BRAM_INT_INTERFACE_L,INT_INTERFACE_EE4BEG0,470,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_LOGIC_OUTS17,473,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_BRAM_UTURN_R_IMUX43,428,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_CTRL0,429,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_BYP6,430,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_CLK0,431,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_LOGIC_OUTS_B14,474,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_FAN4,433,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_BLOCK_OUTS_B1,434,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_SW4END2,435,0.000,0.000
BRAM_INT_INTERFACE_R,INT_INTERFACE_WW2A2,436,0.000,0.000
